date,site.id,influx
2014-11-14,79,0
2014-11-14,85,0
2014-11-14,86,0
2014-11-14,89,0
2014-11-14,90,0
2014-11-14,100,0
2014-11-14,101,0
2014-11-14,102,0
2014-11-14,103,0
2014-11-14,105,3
2014-11-14,146,53
2014-11-14,147,0
2014-11-14,149,0
2014-11-14,150,513
2014-11-14,151,0
2014-11-15,1,94
2014-11-15,3,770
2014-11-15,5,0
2014-11-15,8,0
2014-11-15,10,0
2014-11-15,11,0
2014-11-15,14,0
2014-11-15,16,0
2014-11-15,17,0
2014-11-15,18,0
2014-11-15,20,0
2014-11-15,21,0
2014-11-15,22,0
2014-11-15,24,0
2014-11-15,25,0
2014-11-15,28,0
2014-11-15,34,9
2014-11-15,36,0
2014-11-15,37,0
2014-11-15,38,0
2014-11-15,39,23
2014-11-15,40,0
2014-11-15,47,0
2014-11-15,51,0
2014-11-15,53,0
2014-11-15,62,0
2014-11-15,63,0
2014-11-15,64,0
2014-11-15,66,12
2014-11-15,68,0
2014-11-15,69,0
2014-11-15,78,0
2014-11-15,79,0
2014-11-15,85,0
2014-11-15,86,0
2014-11-15,89,16
2014-11-15,90,4
2014-11-15,100,0
2014-11-15,101,0
2014-11-15,102,0
2014-11-15,103,0
2014-11-15,105,23
2014-11-15,146,42
2014-11-15,147,0
2014-11-15,149,0
2014-11-15,150,63
2014-11-15,151,0
2014-11-16,1,36
2014-11-16,3,446
2014-11-16,5,0
2014-11-16,8,0
2014-11-16,10,0
2014-11-16,11,0
2014-11-16,14,0
2014-11-16,16,0
2014-11-16,17,0
2014-11-16,18,0
2014-11-16,20,0
2014-11-16,21,0
2014-11-16,22,0
2014-11-16,24,0
2014-11-16,25,0
2014-11-16,28,0
2014-11-16,34,12
2014-11-16,36,0
2014-11-16,37,0
2014-11-16,38,0
2014-11-16,39,46
2014-11-16,40,0
2014-11-16,47,0
2014-11-16,51,0
2014-11-16,53,0
2014-11-16,62,0
2014-11-16,63,0
2014-11-16,64,0
2014-11-16,66,25
2014-11-16,68,0
2014-11-16,69,0
2014-11-16,78,0
2014-11-16,79,0
2014-11-16,85,0
2014-11-16,86,0
2014-11-16,89,117
2014-11-16,90,1
2014-11-16,100,0
2014-11-16,101,0
2014-11-16,102,0
2014-11-16,103,0
2014-11-16,105,40
2014-11-16,146,16
2014-11-16,147,0
2014-11-16,149,0
2014-11-16,150,31
2014-11-16,151,9
2014-11-17,1,82
2014-11-17,3,132
2014-11-17,5,0
2014-11-17,8,0
2014-11-17,10,0
2014-11-17,11,0
2014-11-17,14,0
2014-11-17,16,0
2014-11-17,17,0
2014-11-17,18,0
2014-11-17,20,0
2014-11-17,21,0
2014-11-17,22,0
2014-11-17,24,0
2014-11-17,25,0
2014-11-17,28,0
2014-11-17,34,6
2014-11-17,36,0
2014-11-17,37,0
2014-11-17,38,0
2014-11-17,39,11
2014-11-17,40,0
2014-11-17,47,0
2014-11-17,51,0
2014-11-17,53,0
2014-11-17,62,0
2014-11-17,63,0
2014-11-17,64,0
2014-11-17,66,31
2014-11-17,68,0
2014-11-17,69,0
2014-11-17,78,0
2014-11-17,79,1
2014-11-17,85,0
2014-11-17,86,0
2014-11-17,89,79
2014-11-17,90,0
2014-11-17,100,0
2014-11-17,101,0
2014-11-17,102,0
2014-11-17,103,0
2014-11-17,105,23
2014-11-17,146,9
2014-11-17,147,0
2014-11-17,149,0
2014-11-17,150,36
2014-11-17,151,24
2014-11-18,1,44
2014-11-18,3,35
2014-11-18,5,0
2014-11-18,8,0
2014-11-18,10,0
2014-11-18,11,0
2014-11-18,14,2
2014-11-18,16,0
2014-11-18,17,0
2014-11-18,18,0
2014-11-18,20,0
2014-11-18,21,0
2014-11-18,22,0
2014-11-18,24,0
2014-11-18,25,0
2014-11-18,28,0
2014-11-18,34,0
2014-11-18,36,0
2014-11-18,37,0
2014-11-18,38,0
2014-11-18,39,17
2014-11-18,40,0
2014-11-18,47,1
2014-11-18,51,0
2014-11-18,53,0
2014-11-18,62,0
2014-11-18,63,0
2014-11-18,64,0
2014-11-18,66,58
2014-11-18,68,0
2014-11-18,69,0
2014-11-18,78,0
2014-11-18,79,5
2014-11-18,85,0
2014-11-18,86,0
2014-11-18,89,11
2014-11-18,90,4
2014-11-18,100,0
2014-11-18,101,0
2014-11-18,102,0
2014-11-18,103,0
2014-11-18,105,15
2014-11-18,146,0
2014-11-18,147,0
2014-11-18,149,0
2014-11-18,150,0
2014-11-18,151,3
2014-11-19,1,41
2014-11-19,3,43
2014-11-19,5,0
2014-11-19,8,0
2014-11-19,10,0
2014-11-19,11,0
2014-11-19,14,1
2014-11-19,16,0
2014-11-19,17,0
2014-11-19,18,0
2014-11-19,20,0
2014-11-19,21,0
2014-11-19,22,0
2014-11-19,24,0
2014-11-19,25,0
2014-11-19,28,0
2014-11-19,34,0
2014-11-19,36,0
2014-11-19,37,0
2014-11-19,38,0
2014-11-19,39,5
2014-11-19,40,0
2014-11-19,47,21
2014-11-19,51,0
2014-11-19,53,0
2014-11-19,62,0
2014-11-19,63,0
2014-11-19,64,0
2014-11-19,66,36
2014-11-19,68,0
2014-11-19,69,0
2014-11-19,78,0
2014-11-19,79,0
